# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
tu 	吐	c=2 d=2.57478e-08 t=35298
tu 	圖	c=14 d=0.0958472 t=35298
tu ba 	图吧	c=1 d=2.78899e-08 t=35298
tu ba 	土壩	c=1 d=2.77509e-08 t=35298
tu biao 	圖標	c=14 d=1.27891e-05 t=35298
tu cao 	吐槽	c=2 d=3.61713e-08 t=35298
tu dou 	土豆	c=1 d=2.75261e-30 t=35298
tu hao 	土豪	c=1 d=2.08222e-11 t=35298
tu pian 	圖片	c=60 d=0.00598918 t=35298
tu po 	突破	c=1 d=1 t=32207
tu ran 	突然	c=2 d=1.14922e-20 t=35298
tu xiang 	圖像	c=1 d=1.8932e-09 t=35298
tu ya 	圖壓	c=2 d=0.00114197 t=35298
tu zhi 	圖紙	c=1 d=0.00373503 t=35298
tuan 	團	c=5 d=0.0108385 t=35298
tuan dui 	團隊	c=73 d=0.0720034 t=35298
tuan huo 	團伙	c=1 d=8.31954e-13 t=35298
tuan ju 	團聚	c=2 d=0.000173072 t=35298
tui 	推	c=7 d=0.0253196 t=35298
tui 	腿	c=3 d=2.06531 t=35298
tui 	退	c=4 d=0.00901297 t=35298
tui chu 	退出	c=3 d=4.14995e-07 t=35298
tui dui 	退队	c=3 d=0.0104576 t=35298
tui guang 	推廣	c=1 d=3.66356e-11 t=35298
tui hui 	退回	c=1 d=5.93288e-06 t=35298
tui jian 	推薦	c=23 d=0.895843 t=35298
tui jian ren 	推薦人	c=4 d=0.000587286 t=35298
tui le 	退了	c=2 d=1.25739e-38 t=35298
tui shang 	腿上	c=1 d=0.00158052 t=35298
tui song 	推送	c=9 d=0.191839 t=35298
tun 	屯	c=1 d=2.80727e-26 t=35298
tuo 	拖	c=3 d=0.995012 t=35298
tuo dong 	拖動	c=1 d=4.02729e-07 t=35298
tuo feng 	駝峯	c=1 d=3.02283e-14 t=35298
tuo qian 	拖欠	c=12 d=4.08833e-10 t=35298
tuo ru 	拖入	c=1 d=0.00100276 t=35298
tuo ta li tian wang 	托塔李天王	c=1 d=3.37317e-10 t=35298
tuo xia qu 	拖下去	c=2 d=3.91568e-09 t=35298
vscode 	VSCode	c=4 d=5.9305e-25 t=35298
w c 	[旺柴]	c=4 d=1.17098e-32 t=35298
w l 	[捂脸]	c=34 d=1.25753e-22 t=35298
wa 	哇	c=1 d=1.75186e-08 t=35298
wa 	挖	c=3 d=0.965605 t=35298
wa 	瓦	c=4 d=0.00174675 t=35298
wa fen 	挖墳	c=2 d=0.00116504 t=35298
wa gong 	瓦工	c=0 d=1.83686e-37 t=35298
wa guo qu 	挖過去	c=1 d=3.17942e-20 t=35298
wa kuang 	挖礦	c=1 d=0.00597603 t=35298
wai 	外	c=1 d=1 t=32440
wai bao 	外包	c=4 d=0.0310332 t=35298
wai guo 	外國	c=1 d=3.52903e-12 t=35298
wai lai 	外來	c=2 d=2.32355e-07 t=35298
wai mai 	外賣	c=5 d=0.00690851 t=35298
wai mao 	外貿	c=1 d=1.10818e-32 t=35298
wai men 	外門	c=1 d=3.94743e-36 t=35298
wai mian 	外面	c=4 d=0.212252 t=35298
wai wei 	外圍	c=1 d=5.94199e-24 t=35298
wan 	完	c=24 d=0.00506875 t=35298
wan 	玩	c=25 d=0.425784 t=35298
wan 	萬	c=3 d=0.00174675 t=35298
wan cheng 	完成	c=42 d=0.00588859 t=35298
wan dan 	完蛋	c=1 d=5.55951e-06 t=35298
wan dian 	晚點	c=1 d=6.42702e-06 t=35298
wan er 	玩兒	c=0 d=0.1 t=32827
wan guo 	玩過	c=2 d=0.0892922 t=35298
wan jie 	完結	c=1 d=3.88878e-07 t=35298
wan neng 	萬能	c=3 d=0.00225411 t=35298
wan quan 	完全	c=2 d=0.347488 t=35298
wan ren 	萬人	c=1 d=2.24745e-27 t=35298
wan shan 	完善	c=1 d=8.969e-15 t=35298
wan shang 	晚上	c=20 d=0.0736546 t=35298
wan shi 	完事	c=2 d=6.25426e-09 t=35298
wan sui 	萬歲	c=4 d=0.0210448 t=35298
wan wan 	玩完	c=1 d=8.42346e-12 t=35298
wan wan 	玩玩	c=4 d=0.231078 t=35298
wan wu 	萬物	c=1 d=0.00244185 t=35298
wan yi 	玩意	c=2 d=0.00143728 t=35298
wan you xi 	玩遊戲	c=1 d=0.00116504 t=35298
wan zheng 	完整	c=7 d=0.506487 t=35298
wang 	往	c=2 d=5.4738e-29 t=35298
wang 	忘	c=1 d=4.70171e-05 t=35298
wang 	望	c=1 d=3.64468e-09 t=35298
wang 	王	c=4 d=0.271173 t=35298
wang 	網	c=17 d=0.000306637 t=35298
wang dian 	網點	c=1 d=1.5099e-24 t=35298
wang ji 	忘記	c=12 d=0.00637754 t=35298
wang jue 	王珏	c=3 d=5.99252e-06 t=35298
wang le 	亡了	c=1 d=0.00540733 t=35298
wang luo 	網絡	c=12 d=0.00117088 t=35298
wang pan 	網盤	c=12 d=0.00194013 t=35298
wang shang 	網商	c=2 d=8.78252e-19 t=35298
wang su 	網速	c=3 d=2.2216e-30 t=35298
wang wen wu 	王文武	c=1 d=2.32316e-05 t=35298
wang ye 	網頁	c=8 d=0.946485 t=35298
wang yi 	網易	c=0 d=1.99983e-37 t=35298
wang yi yun 	網易雲	c=8 d=3.39769e-07 t=35298
wang zhan 	網站	c=6 d=0.0583289 t=35298
wei 	位	c=1 d=0.00305797 t=35298
wei 	味	c=1 d=1.07862e-08 t=35298
wei 	微	c=1 d=6.53863e-32 t=35298
wei 	未	c=56 d=1.81077 t=35298
wei 	爲	c=71 d=1.29567 t=35298
wei 	衛	c=1 d=5.57374e-36 t=35298
wei bi li you 	威逼利誘	c=1 d=2.41869e-38 t=35298
wei bo 	微博	c=1 d=2.36309e-29 t=35298
wei bo 	微波	c=1 d=3.01985e-36 t=35298
wei bo qiang 	微波槍	c=1 d=2.80966e-36 t=35298
wei da 	偉大	c=2 d=0.00246639 t=35298
wei dong 	微动	c=1 d=4.16707e-26 t=35298
wei du 	維度	c=1 d=1 t=31569
wei fan 	違反	c=1 d=0.771052 t=35298
wei fu 	未付	c=1 d=2.03289e-23 t=35298
wei guo 	未果	c=2 d=2.35298e-08 t=35298
wei hu 	維護	c=6 d=1.10041e-08 t=35298
wei jie 	未接	c=1 d=1 t=31589
wei kai 	未開	c=4 d=4.15547e-08 t=35298
wei kong 	唯恐	c=1 d=3.62576e-36 t=35298
wei lai 	未來	c=1 d=6.61015e-13 t=35298
wei le 	爲了	c=7 d=0.112134 t=35298
wei ni 	爲你	c=1 d=1.05034e-19 t=35298
wei ruan 	微軟	c=5 d=0.00819695 t=35298
wei sha 	爲啥	c=22 d=0.109604 t=35298
wei shang 	微商	c=1 d=3.18386e-07 t=35298
wei shen me 	爲什麼	c=11 d=0.00511432 t=35298
wei wu 	威武	c=1 d=4.57533e-08 t=35298
wei xian 	危險	c=1 d=3.29156e-16 t=35298
wei xin 	微信	c=59 d=0.0179677 t=35298
wei xiu 	維修	c=1 d=2.11297e-07 t=35298
wei zai 	圍在	c=1 d=1.11185e-12 t=35298
wei zhi 	位置	c=14 d=0.724652 t=35298
wei zhi 	未知	c=4 d=8.75204e-21 t=35298
wei zhi 	爲止	c=1 d=5.5739e-07 t=35298
wen 	問	c=27 d=0.718641 t=35298
wen 	文	c=2 d=1.9802 t=32591
wen 	溫	c=8 d=0.0312201 t=35298
wen an 	文案	c=12 d=3.64301 t=33908
wen ben 	文本	c=9 d=0.00169709 t=35298
wen dang 	文檔	c=30 d=0.239309 t=35298
wen ding 	穩定	c=1 d=1.96364e-27 t=35298
wen du 	溫度	c=3 d=6.08216e-09 t=35298
wen hao 	問好	c=3 d=7.88932e-06 t=35298
wen hao 	問號	c=1 d=4.95641e-08 t=35298
wen hua 	文化	c=1 d=0.856415 t=35298
wen hua 	文華	c=7 d=2.78077 t=35200
wen jian 	文件	c=72 d=0.207268 t=35298
wen jian gong xiang 	文件共享	c=2 d=2.26642e-30 t=35298
wen jian jia 	文件夾	c=9 d=0.00244482 t=35298
wen juan 	問卷	c=1 d=0.000742862 t=35298
wen le 	問了	c=2 d=7.27136e-17 t=35298
wen ti 	問題	c=30 d=0.612645 t=35298
wen wen 	問問	c=1 d=4.20251e-08 t=35298
wen wen 	聞聞	c=1 d=1.45495e-29 t=35298
wen wo 	問我	c=1 d=4.2756e-05 t=35298
wen xing 	溫星	c=8 d=1.04472 t=35298
wen yi xia 	問一下	c=3 d=6.20701e-08 t=35298
wen zhang 	文章	c=47 d=2.59329e-05 t=35298
wen zhu 	穩住	c=1 d=0.00101791 t=35298
wen zi 	文字	c=3 d=2.0935e-08 t=35298
wo 	我	c=647 d=3.79926 t=35298
wo bu pei 	我不配	c=1 d=4.16423e-18 t=35298
wo cao 	臥槽	c=2 d=0.0118551 t=35298
wo de 	我的	c=25 d=0.0263281 t=35298
wo fan wei 	我範圍	c=1 d=1.23196e-13 t=35298
wo kan kan 	我看看	c=1 d=2.53012e-09 t=35298
wo mei you 	我沒有	c=1 d=3.33847e-06 t=35298
wo men 	我們	c=16 d=0.119617 t=35298
wo na bian 	我那邊	c=1 d=0.440432 t=35298
wo o 	喔喔	c=1 d=6.7377e-32 t=35298
wo qu 	我去	c=4 d=0.0500366 t=35298
wo ri 	我日	c=1 d=4.04748e-07 t=35298
wo wo 	窩窩	c=0 d=2.74887e-15 t=35298
wo wo o wo 	窩窩喔喔	c=1 d=2.76266e-14 t=35298
wo xian zai 	我現在	c=1 d=1 t=35124
wo yao kan 	我要看	c=1 d=0.97531 t=35298
wo ye 	我也	c=4 d=0.00443014 t=35298
wo ye yao 	我也要	c=1 d=1.51907e-07 t=35298
wo zai 	我在	c=1 d=8.35697e-07 t=35298
wo zhe 	我這	c=1 d=5.79822e-30 t=35298
wo zhe bian 	我這邊	c=1 d=1.56666e-17 t=35298
wu 	五	c=7 d=1.17715e-07 t=35298
wu 	勿	c=1 d=6.53992e-05 t=35298
wu 	屋	c=1 d=2.87491e-13 t=35298
wu 	無	c=10 d=0.0985308 t=35298
wu 	舞	c=1 d=9.40774e-18 t=35298
wu ai 	吾愛	c=2 d=4.53999e-05 t=35298
wu ai 	無礙	c=0 d=4.45147e-39 t=35298
wu ai po jie 	無礙破解	c=1 d=4.47379e-38 t=35298
wu bi 	五筆	c=1 d=7.0213e-17 t=35298
wu chang 	五常	c=1 d=8.76425e-08 t=35298
wu chu 	悟出	c=1 d=4.95641e-08 t=35298
wu dao 	悟道	c=1 d=0.00427488 t=35298
wu dao 	誤導	c=1 d=0.00425356 t=35298
wu er wu er 	嗚兒嗚兒	c=0 d=0.1 t=32825
wu fa 	無法	c=27 d=1.03546 t=35298
wu gong 	務工	c=1 d=2.3352e-07 t=35298
wu guan 	五官	c=1 d=3.7087e-08 t=35298
wu han 	武漢	c=1 d=2.44301e-38 t=35298
wu hu 	蕪湖	c=1 d=1.85508e-05 t=35298
wu hu ai zai 	呜乎哀哉	c=2 d=1.46838 t=35298
wu hu ai zai 	嗚呼哀哉	c=4 d=3.26679 t=35298
wu huo 	無貨	c=1 d=2.51663e-05 t=35298
wu ji 	無極	c=1 d=4.97008e-11 t=35298
wu li 	物理	c=1 d=0.00209124 t=35298
wu liao 	無聊	c=1 d=2.72717e-09 t=35298
wu liu 	物流	c=1 d=7.39535e-10 t=35298
wu lun 	無論	c=1 d=1 t=31945
wu men 	無門	c=0 d=2.7603e-05 t=35298
wu men kan 	無門檻	c=1 d=0.000277415 t=35298
wu pin 	物品	c=1 d=6.30082e-08 t=35298
wu qi 	武器	c=7 d=0.0227463 t=35298
wu qing 	無情	c=1 d=9.23904e-11 t=35298
wu qu 	無趣	c=1 d=1 t=34110
wu ren 	無人	c=1 d=2.03503e-06 t=35298
wu shuang 	無雙	c=1 d=0.00946646 t=35298
wu suo wei ju 	無所畏懼	c=1 d=0.00101284 t=35298
wu tiao jian 	無條件	c=1 d=6.77516e-09 t=35298
wu wu 	無誤	c=1 d=1 t=34556
wu xian 	五險	c=1 d=3.26324e-32 t=35298
wu xian 	無線	c=1 d=1.9175e-12 t=35298
wu xian 	無限	c=2 d=2.83067e-06 t=35298
wu xiao 	無效	c=2 d=0.0297478 t=35298
wu xie ke ji 	無懈可擊	c=1 d=2.12979e-12 t=35298
wu ya ya 	烏壓壓	c=1 d=0.0125881 t=35298
wu yan zhang qi 	烏煙瘴氣	c=1 d=5.78641e-06 t=35298
wu yi 	五一	c=3 d=9.56977e-13 t=35298
wu yi 	無意	c=1 d=0.000428594 t=35298
wu yong 	無用	c=8 d=0.346456 t=35298
wu you 	無憂	c=1 d=0.0228227 t=35298
xi 	吸	c=2 d=0.00704809 t=35298
xi 	喜	c=1 d=0.000210716 t=35298
xi 	洗	c=1 d=1 t=34539
xi 	系	c=2 d=1.98511 t=33631
xi 	西	c=4 d=0.0246002 t=35298
xi bu 	西部	c=2 d=0.00250366 t=35298
xi guan 	習慣	c=5 d=0.0660652 t=35298
xi huan 	喜歡	c=7 d=4.90625e-06 t=35298
xi jie 	細節	c=3 d=0.0062931 t=35298
xi lian pen 	洗臉盆	c=1 d=1.80958e-07 t=35298
xi lie 	系列	c=2 d=1.95052e-07 t=35298
xi nei 	西內	c=1 d=0.218712 t=35298
xi que 	稀缺	c=1 d=1.61273e-05 t=35298
xi tong 	系統	c=10 d=0.231385 t=35298
xi wan 	洗碗	c=1 d=8.8019e-29 t=35298
xi wang 	希望	c=7 d=0.38022 t=35298
xi ya 	洗牙	c=1 d=0.0223708 t=35298
xi yin 	吸引	c=9 d=0.000105163 t=35298
xi zao 	洗澡	c=1 d=3.98858e-11 t=35298
xi zi 	席子	c=1 d=1.1086e-07 t=35298
xia 	下	c=47 d=0.212848 t=35298
xia 	夏	c=1 d=5.43536e-05 t=35298
xia ban 	下班	c=13 d=1.7558e-05 t=35298
xia ban le 	下班了	c=1 d=4.56973e-23 t=35298
xia bei zi 	下輩子	c=1 d=0.0023461 t=35298
xia che 	下車	c=4 d=1.41781e-19 t=35298
xia ci 	下次	c=1 d=1.91848e-18 t=35298
xia fa 	下發	c=1 d=5.11605e-28 t=35298
xia ge 	下個	c=3 d=0.0392939 t=35298
xia hai 	下海	c=2 d=1.65783e-06 t=35298
xia hua xian 	下劃線	c=1 d=2.83259e-14 t=35298
xia ji 	下級	c=17 d=0.0430496 t=35298
xia ji 	夏季	c=1 d=8.29522e-08 t=35298
xia jiang 	下降	c=3 d=0.507208 t=35298
xia la 	下拉	c=2 d=1.12264e-08 t=35298
xia lai 	下來	c=6 d=0.0383884 t=35298
xia lou 	下樓	c=2 d=2.80298e-08 t=35298
xia men 	廈門	c=57 d=0.609668 t=35298
xia men shi 	廈門市	c=1 d=0.00215492 t=35298
xia mian 	下面	c=10 d=1.31304 t=35298
xia qu 	下去	c=7 d=0.0374477 t=35298
xia tian 	夏天	c=1 d=1.04835e-26 t=35298
xia tu 	下圖	c=1 d=2.63194e-32 t=35298
xia wu 	下午	c=13 d=0.0228366 t=35298
xia wu cha 	下午茶	c=1 d=1.40299e-13 t=35298
xia xian 	下線	c=1 d=7.88371e-27 t=35298
xia yi 	下一	c=0 d=3.50057e-06 t=35298
xia yi ci 	下一次	c=1 d=8.19987e-19 t=35298
xia yi ge 	下一個	c=4 d=0.956189 t=35298
xia yi ji 	下一級	c=2 d=0.000162349 t=35298
xia yi ye 	下一頁	c=1 d=4.97856e-31 t=35298
xia zai 	下載	c=21 d=0.15267 t=35298
xia zhou 	下週	c=3 d=0.00540733 t=35298
xian 	先	c=55 d=0.610793 t=35298
xian 	嫌	c=2 d=9.35285e-08 t=35298
xian 	線	c=10 d=0.0178634 t=35298
xian 	閒	c=4 d=0.00114991 t=35298
xian 	限	c=2 d=9.90726e-35 t=35298
xian 	險	c=5 d=0.0229371 t=35298
xian 	鮮	c=1 d=9.2136e-08 t=35298
xian chang 	現場	c=1 d=1.71304e-09 t=35298
xian cheng 	現成	c=2 d=1.28822e-09 t=35298
xian ding 	限定	c=1 d=2.09195e-07 t=35298
xian jia 	現價	c=1 d=0.00111936 t=35298
xian jing 	陷阱	c=1 d=1.88895e-12 t=35298
xian lu 	線路	c=1 d=7.08944e-13 t=35298
xian luo 	暹羅	c=1 d=3.91905e-10 t=35298
xian mu 	羨慕	c=42 d=1.03345 t=35298
xian qi 	嫌棄	c=1 d=0.000575656 t=35298
xian qing ya zhi 	闲情雅致	c=1 d=9.21516e-10 t=35298
xian qing yi zhi 	閒情逸致	c=1 d=9.16922e-10 t=35298
xian qu 	先去	c=4 d=1.83693e-07 t=35298
xian quan 	線圈	c=1 d=5.53272e-08 t=35298
xian ru 	陷入	c=1 d=1.11875e-26 t=35298
xian shang 	獻上	c=1 d=6.72378e-37 t=35298
xian shang 	線上	c=24 d=1.3226 t=35298
xian shi 	現實	c=1 d=1 t=33588
xian shi 	顯示	c=52 d=0.0983623 t=35298
xian shi le 	顯示了	c=1 d=1.17287e-23 t=35298
xian wei 	纖維	c=1 d=5.57296e-05 t=35298
xian xia 	線下	c=1 d=2.10243e-07 t=35298
xian yong 	先用	c=1 d=6.41044e-05 t=35298
xian you 	現有	c=1 d=2.43631e-35 t=35298
xian yu 	鹹魚	c=3 d=0.00136227 t=35298
xian zai 	現在	c=151 d=1.09299 t=35298
xian zhe 	閒着	c=2 d=0.0572688 t=35298
xian zhi 	限制	c=15 d=0.0520787 t=35298
xiang 	像	c=10 d=0.000466618 t=35298
xiang 	向	c=10 d=0.00269866 t=35298
xiang 	想	c=43 d=0.840902 t=35298
xiang 	箱	c=1 d=2.98086e-26 t=35298
xiang 	項	c=5 d=9.70776e-05 t=35298
xiang 	香	c=13 d=0.194219 t=35298
xiang chu lai 	想出來	c=1 d=7.68776e-25 t=35298
xiang cun 	鄉村	c=1 d=3.34653e-05 t=35298
xiang dang yu 	相當於	c=5 d=2.84821e-07 t=35298
xiang dao 	想到	c=1 d=8.4948e-23 t=35298
xiang de mei 	想得美	c=1 d=9.30746e-39 t=35298
xiang duo 	想多	c=4 d=5.77146e-05 t=35298
xiang duo le 	想多了	c=1 d=1.47442e-09 t=35298
xiang fa 	想法	c=1 d=1.00813e-07 t=35298
xiang gai 	想改	c=1 d=1.3138e-05 t=35298
xiang ge 	像個	c=1 d=1.12554e-09 t=35298
xiang guan 	相關	c=6 d=0.257709 t=35298
xiang hu 	相互	c=1 d=0.000248516 t=35298
xiang jia 	相加	c=1 d=5.58722e-35 t=35298
xiang jin 	想盡	c=1 d=2.91985e-18 t=35298
xiang le 	想了	c=0 d=0.00208584 t=35298
xiang le xia 	想了下	c=1 d=0.0209629 t=35298
xiang mu 	項目	c=43 d=0.0149956 t=35298
xiang mu ni 	項目你	c=1 d=1.56155e-08 t=35298
xiang qi lai 	想起來	c=1 d=0.472367 t=35298
xiang qin 	相親	c=6 d=0.0911257 t=35298
xiang qing 	詳情	c=6 d=0.00794669 t=35298
xiang qu 	想去	c=1 d=1.26685e-18 t=35298
xiang ri kui 	向日葵	c=1 d=2.64793e-15 t=35298
xiang tong 	相同	c=5 d=0.101199 t=35298
xiang xi 	詳細	c=2 d=0.00381048 t=35298
xiang xiang 	想想	c=3 d=1.1069e-18 t=35298
xiang xie 	想寫	c=1 d=0.00436124 t=35298
xiang yao 	想要	c=1 d=2.30396e-25 t=35298
xiang ying 	響應	c=1 d=1.81143e-19 t=35298
xiang yong 	想用	c=1 d=3.45797e-08 t=35298
xiao 	小	c=35 d=0.479281 t=35298
xiao 	笑	c=4 d=7.66007e-12 t=35298
xiao bai 	小白	c=2 d=1.48228e-07 t=35298
xiao bai shu 	小白鼠	c=1 d=0.000696112 t=35298
xiao cheng xu 	小程序	c=3 d=1.52274e-06 t=35298
xiao dao 	小道	c=1 d=6.20914e-12 t=35298
xiao di 	小弟	c=1 d=1.52798e-17 t=35298
xiao di fang 	小地方	c=1 d=9.10146e-11 t=35298
xiao dian 	笑點	c=1 d=1.03347e-05 t=35298
xiao du 	消毒	c=1 d=3.49511e-16 t=35298
xiao e 	小額	c=1 d=1.4467e-21 t=35298
xiao fang 	消防	c=1 d=6.25855e-17 t=35298
xiao fei 	消費	c=3 d=0.000204273 t=35298
xiao gong neng 	小功能	c=1 d=8.48296e-36 t=35298
xiao gong si 	小公司	c=3 d=5.38311e-09 t=35298
xiao guo 	效果	c=4 d=3.92786e-07 t=35298
xiao hai 	小孩	c=1 d=1.12165e-27 t=35298
xiao hai zi 	小孩子	c=1 d=0.543351 t=35298
xiao hao 	小號	c=58 d=3.14884 t=35298
xiao hao 	消耗	c=2 d=1.67368 t=34279
xiao hao o a 	小號哦啊	c=1 d=1 t=33241
xiao hei 	小黑	c=1 d=2.87491e-13 t=35298
xiao hei wu 	小黑屋	c=1 d=2.88932e-12 t=35298
xiao hua 	消化	c=1 d=3.11754e-24 t=35298
xiao hui 	小會	c=1 d=1 t=34061
xiao jian pan 	小键盘	c=1 d=2.18824e-07 t=35298
xiao jie 	小姐	c=0 d=1.69449e-29 t=35298
xiao jie jie 	小姐姐	c=2 d=0.0113902 t=35298
xiao lang hao 	小狼毫	c=3 d=0.869358 t=35298
xiao lian 	笑臉	c=1 d=0.421052 t=35298
xiao liang 	銷量	c=1 d=0.264477 t=35298
xiao lv 	效率	c=4 d=1.73863e-07 t=35298
xiao ma 	小馬	c=3 d=4.0857e-06 t=35298
xiao mi 	小米	c=16 d=0.464756 t=35298
xiao ming 	小明	c=1 d=2.83067e-06 t=35298
xiao ming 	小鸣	c=4 d=1.00013 t=35065
xiao niao 	小鳥	c=1 d=2.73369e-37 t=35298
xiao nv hai 	小女孩	c=1 d=4.49558e-07 t=35298
xiao qian 	消遣	c=1 d=3.71893e-11 t=35298
xiao qiu 	小丘	c=3 d=9.83238e-08 t=35298
xiao qiu 	小邱	c=1 d=6.35312e-17 t=35298
xiao qu 	小區	c=28 d=0.0408455 t=35298
xiao shen ke de jiu shu 	肖申克的救赎	c=1 d=0.00128115 t=35298
xiao shi 	小時	c=13 d=0.163654 t=35298
xiao shi 	消失	c=2 d=0.0134335 t=35298
xiao shou 	銷售	c=1 d=1 t=31666
xiao shou ji 	小手机	c=1 d=0.214381 t=35298
xiao wen jian 	小文件	c=1 d=1.03453e-17 t=35298
xiao xi 	消息	c=17 d=0.650963 t=35298
xiao xie 	小寫	c=1 d=1.19206e-08 t=35298
xiao xin 	小心	c=1 d=3.96653e-34 t=35298
xiao xing 	小型	c=1 d=2.07608e-35 t=35298
xiao xue 	小學	c=2 d=7.7518e-05 t=35298
xiao xue sheng 	小學生	c=1 d=2.60036e-37 t=35298
xiao yao 	逍遙	c=1 d=9.39941e-37 t=35298
xiao yu 	小於	c=12 d=0.0290232 t=35298
xiao yu 	小雨	c=1 d=6.35745e-25 t=35298
xiao yu 	小魚	c=2 d=2.43637e-06 t=35298
xiao zhong 	小衆	c=2 d=6.4328e-36 t=35298
xie 	些	c=10 d=0.108067 t=35298
xie 	寫	c=86 d=0.238288 t=35298
xie 	血	c=3 d=0.704688 t=35298
xie 	謝	c=2 d=9.00629e-05 t=35298
xie cheng 	攜程	c=1 d=7.5563e-28 t=35298
xie dai 	懈怠	c=1 d=0.0175097 t=35298
xie de 	寫的	c=3 d=2.94618e-06 t=35298
xie dian 	寫點	c=1 d=1.59283e-06 t=35298
xie e 	邪惡	c=2 d=0.00264522 t=35298
xie gang 	斜槓	c=3 d=0.0448245 t=35298
xie ge 	寫個	c=4 d=0.00336274 t=35298
xie hao 	寫好	c=3 d=0.000611253 t=35298
xie hou yu 	歇後語	c=1 d=0.246597 t=35298
xie le 	寫了	c=1 d=2.75504e-11 t=35298
xie ru 	寫入	c=4 d=0.00029901 t=35298
xie shang 	協商	c=3 d=5.1474e-09 t=35298
xie tiao 	協調	c=1 d=2.22706e-08 t=35298
xie wan 	寫完	c=5 d=1.76162e-05 t=35298
xie xie 	謝謝	c=9 d=0.00178203 t=35298
xie yao 	謝邀	c=1 d=9.23745e-09 t=35298
xie yi 	協議	c=3 d=1.75533e-09 t=35298
xie yi ge 	寫一個	c=2 d=1.07029e-05 t=35298
xie zai 	卸載	c=6 d=0.00144449 t=35298
xie zhe 	寫着	c=1 d=9.93458e-12 t=35298
xie zi 	寫字	c=1 d=9.8337e-39 t=35298
xie zi 	鞋子	c=1 d=2.9304e-31 t=35298
xin 	信	c=2 d=0.755784 t=35298
xin 	心	c=2 d=0.000126922 t=35298
xin 	新	c=65 d=0.689133 t=35298
xin 	薪	c=5 d=4.38094e-32 t=35298
xin ban 	新版	c=1 d=1 t=34590
xin jian 	新建	c=8 d=0.665882 t=35298
xin li 	心裏	c=1 d=9.00602e-34 t=35298
xin qing 	心情	c=1 d=1.02884e-11 t=35298
xin ren 	新人	c=6 d=0.109154 t=35298
xin sai 	心賽	c=1 d=9.4955e-39 t=35298
xin shou 	新手	c=7 d=2.89228e-06 t=35298
xin si 	心思	c=2 d=1.35847e-16 t=35298
xin suan 	心酸	c=1 d=1.65637e-25 t=35298
xin tai 	心態	c=2 d=4.88262e-08 t=35298
xin wen 	新聞	c=4 d=0.00137404 t=35298
xin xi 	信息	c=41 d=1.93905 t=35298
xin xian 	新鮮	c=2 d=0.000165755 t=35298
xin yang 	信仰	c=1 d=1.84231e-12 t=35298
xin yong 	信用	c=1 d=2.93948e-38 t=35298
xin yong ka 	信用卡	c=1 d=8.19285e-09 t=35298
xin zeng 	新增	c=64 d=1.02992 t=35298
xin zhi 	心志	c=9 d=3.77577e-13 t=35298
xin zi 	薪資	c=4 d=1.39146e-33 t=35298
xing 	型	c=1 d=1.97348e-27 t=35298
xing 	姓	c=2 d=0.0108347 t=35298
xing 	幸	c=1 d=6.47927e-13 t=35298
xing 	形	c=1 d=8.69654e-05 t=35298
xing 	性	c=3 d=0.0304975 t=35298
xing 	星	c=11 d=0.046533 t=35298
xing 	行	c=6 d=0.000378233 t=35298
xing 	醒	c=2 d=7.77453e-10 t=35298
xing bie 	性別	c=4 d=0.000925663 t=35298
xing hao 	型號	c=1 d=6.95973e-31 t=35298
xing ji 	星級	c=7 d=0.0439035 t=35298
xing le 	行了	c=2 d=8.27839e-09 t=35298
xing neng 	性能	c=3 d=2.14265e-07 t=35298
xing qi 	星期	c=8 d=0.114818 t=35298
xing qi ri 	星期日	c=1 d=2.23206e-05 t=35298
xing qu 	興趣	c=2 d=0.216536 t=35298
xing qu xiang 	性取向	c=1 d=0.0934807 t=35298
xing shi 	形式	c=8 d=0.00460782 t=35298
xing xiang 	形象	c=11 d=7.32577 t=33422
xing xing 	醒醒	c=1 d=1 t=33510
xiong di 	兄弟	c=3 d=2.36437e-06 t=35298
xiong mao 	熊貓	c=1 d=3.63145e-25 t=35298
xiu 	修	c=7 d=0.0114857 t=35298
xiu 	秀	c=1 d=0.847894 t=35298
xiu fu 	修復	c=68 d=0.445905 t=35298
xiu gai 	修改	c=37 d=0.0281573 t=35298
xiu gai qi 	修改器	c=1 d=1 t=31833
xiu xi 	♨️	c=1 d=2.03884e-28 t=35298
xu 	續	c=1 d=1.41295e-08 t=35298
xu duo 	許多	c=1 d=1 t=31844
xu hao 	序號	c=10 d=2.8714e-25 t=35298
xu hao ji 	序號集	c=1 d=3.64454e-38 t=35298
xu jia 	虛假	c=1 d=8.17148e-37 t=35298
xu lie hua 	序列化	c=1 d=2.19234e-29 t=35298
xu neng 	蓄能	c=2 d=0.0346084 t=35298
xu ni 	虛擬	c=3 d=0.00152222 t=35298
xu ni bi 	虛擬幣	c=1 d=0.0152985 t=35298
xu ni ji 	虛擬機	c=2 d=3.73566e-05 t=35298
xu qiu 	需求	c=24 d=0.000224116 t=35298
xu yao 	需要	c=57 d=0.490057 t=35298
